level_0,level_1,Non-satisfaction,Satisfaction,Statistics
문A1-2) 참여한 프로그램 수는 몇개입니까? (3) 직업능력향상교육,0.3571428571428571,3 (12.00%),22 (88.00%),
문A1-2) 참여한 프로그램 수는 몇개입니까? (3) 직업능력향상교육,0.5,1 (11.11%),8 (88.89%),
DQ12. 귀하의 현재 직장에서의 근무기간은 얼마나 되십니까?__년,0.0,1025 (44.66%),1270 (55.34%),"$\chi^2$=616.83, $p$=0.00"
DQ12. 귀하의 현재 직장에서의 근무기간은 얼마나 되십니까?__년,0.01,49 (19.76%),199 (80.24%),
DQ12. 귀하의 현재 직장에서의 근무기간은 얼마나 되십니까?__년,0.02,88 (20.61%),339 (79.39%),
DQ12. 귀하의 현재 직장에서의 근무기간은 얼마나 되십니까?__년,0.03,134 (26.48%),372 (73.52%),
DQ12. 귀하의 현재 직장에서의 근무기간은 얼마나 되십니까?__년,0.04,155 (26.27%),435 (73.73%),
DQ12. 귀하의 현재 직장에서의 근무기간은 얼마나 되십니까?__년,0.05,27 (10.59%),228 (89.41%),
DQ12. 귀하의 현재 직장에서의 근무기간은 얼마나 되십니까?__년,0.060000000000000005,140 (25.88%),401 (74.12%),
DQ12. 귀하의 현재 직장에서의 근무기간은 얼마나 되십니까?__년,0.06999999999999999,24 (11.27%),189 (88.73%),
DQ12. 귀하의 현재 직장에서의 근무기간은 얼마나 되십니까?__년,0.08,31 (13.48%),199 (86.52%),
DQ12. 귀하의 현재 직장에서의 근무기간은 얼마나 되십니까?__년,0.09,25 (12.89%),169 (87.11%),
DQ12. 귀하의 현재 직장에서의 근무기간은 얼마나 되십니까?__년,0.09999999999999999,6 (9.68%),56 (90.32%),
DQ12. 귀하의 현재 직장에서의 근무기간은 얼마나 되십니까?__년,0.11,84 (16.60%),422 (83.40%),
DQ12. 귀하의 현재 직장에서의 근무기간은 얼마나 되십니까?__년,0.12,5 (8.93%),51 (91.07%),
DQ12. 귀하의 현재 직장에서의 근무기간은 얼마나 되십니까?__년,0.13,19 (12.42%),134 (87.58%),
DQ12. 귀하의 현재 직장에서의 근무기간은 얼마나 되십니까?__년,0.14,4 (5.71%),66 (94.29%),
DQ12. 귀하의 현재 직장에서의 근무기간은 얼마나 되십니까?__년,0.15000000000000002,13 (28.26%),33 (71.74%),
DQ12. 귀하의 현재 직장에서의 근무기간은 얼마나 되십니까?__년,0.16,95 (27.78%),247 (72.22%),
DQ12. 귀하의 현재 직장에서의 근무기간은 얼마나 되십니까?__년,0.17,6 (12.77%),41 (87.23%),
DQ12. 귀하의 현재 직장에서의 근무기간은 얼마나 되십니까?__년,0.18000000000000002,3 (7.69%),36 (92.31%),
DQ12. 귀하의 현재 직장에서의 근무기간은 얼마나 되십니까?__년,0.19,4 (5.63%),67 (94.37%),
DQ12. 귀하의 현재 직장에서의 근무기간은 얼마나 되십니까?__년,0.21000000000000002,92 (26.29%),258 (73.71%),
DQ12. 귀하의 현재 직장에서의 근무기간은 얼마나 되십니까?__년,0.22,1 (5.26%),18 (94.74%),
DQ12. 귀하의 현재 직장에서의 근무기간은 얼마나 되십니까?__년,0.23,4 (14.81%),23 (85.19%),
DQ12. 귀하의 현재 직장에서의 근무기간은 얼마나 되십니까?__년,0.24000000000000002,2 (9.52%),19 (90.48%),
DQ12. 귀하의 현재 직장에서의 근무기간은 얼마나 되십니까?__년,0.26,44 (31.43%),96 (68.57%),
DQ12. 귀하의 현재 직장에서의 근무기간은 얼마나 되십니까?__년,0.27,2 (13.33%),13 (86.67%),
DQ12. 귀하의 현재 직장에서의 근무기간은 얼마나 되십니까?__년,0.28,3 (11.54%),23 (88.46%),
DQ12. 귀하의 현재 직장에서의 근무기간은 얼마나 되십니까?__년,0.29000000000000004,1 (4.55%),21 (95.45%),
DQ12. 귀하의 현재 직장에서의 근무기간은 얼마나 되십니까?__년,0.31,25 (17.86%),115 (82.14%),
DQ12. 귀하의 현재 직장에서의 근무기간은 얼마나 되십니까?__년,0.35000000000000003,1 (12.50%),7 (87.50%),
DQ12. 귀하의 현재 직장에서의 근무기간은 얼마나 되십니까?__년,0.36000000000000004,3 (13.64%),19 (86.36%),
DQ12. 귀하의 현재 직장에서의 근무기간은 얼마나 되십니까?__년,0.37,1 (16.67%),5 (83.33%),
DQ12. 귀하의 현재 직장에서의 근무기간은 얼마나 되십니까?__년,0.38,1 (33.33%),2 (66.67%),
DQ12. 귀하의 현재 직장에서의 근무기간은 얼마나 되십니까?__년,0.41000000000000003,13 (24.53%),40 (75.47%),
DQ12. 귀하의 현재 직장에서의 근무기간은 얼마나 되십니까?__년,0.45,1 (50.00%),1 (50.00%),
DQ12. 귀하의 현재 직장에서의 근무기간은 얼마나 되십니까?__년,0.46,10 (47.62%),11 (52.38%),
DQ12. 귀하의 현재 직장에서의 근무기간은 얼마나 되십니까?__년,0.51,15 (34.88%),28 (65.12%),
성별,0.0,3971 (58.95%),2765 (41.05%),"$\chi^2$=563.83, $p$=0.00"
성별,1.0,1687 (36.30%),2961 (63.70%),
DQ11. 귀하가 현재 소속되어 있는 직장의 규모는 어느 정도입니까? (사업장^ 상시근로자 기준),0.0,1025 (44.66%),1270 (55.34%),"$\chi^2$=555.42, $p$=0.00"
DQ11. 귀하가 현재 소속되어 있는 직장의 규모는 어느 정도입니까? (사업장^ 상시근로자 기준),0.010101010101010102,1357 (40.79%),1970 (59.21%),
DQ11. 귀하가 현재 소속되어 있는 직장의 규모는 어느 정도입니까? (사업장^ 상시근로자 기준),0.020202020202020204,360 (26.77%),985 (73.23%),
DQ11. 귀하가 현재 소속되어 있는 직장의 규모는 어느 정도입니까? (사업장^ 상시근로자 기준),0.030303030303030304,119 (15.12%),668 (84.88%),
DQ11. 귀하가 현재 소속되어 있는 직장의 규모는 어느 정도입니까? (사업장^ 상시근로자 기준),0.04040404040404041,55 (12.06%),401 (87.94%),
DQ11. 귀하가 현재 소속되어 있는 직장의 규모는 어느 정도입니까? (사업장^ 상시근로자 기준),0.05050505050505051,51 (10.58%),431 (89.42%),
DQ4. 귀하께서는 부양할 가족이 있습니까? (동거여부 무관),0.0,3140 (60.29%),2068 (39.71%),"$\chi^2$=429.91, $p$=0.00"
DQ4. 귀하께서는 부양할 가족이 있습니까? (동거여부 무관),1.0,2518 (40.77%),3658 (59.23%),
Year,0.0,1977 (57.50%),1461 (42.50%),"$\chi^2$=402.87, $p$=0.00"
Year,0.25,1696 (55.86%),1340 (44.14%),
Year,0.5,813 (38.06%),1323 (61.94%),
Year,0.75,828 (49.85%),833 (50.15%),
Year,1.0,344 (30.91%),769 (69.09%),
문A3-3) 귀하께서 작년에 참여한 학습경험이 전반적으로 다음 각 항목과 관련하여 귀하에게 어느 정도 도움이 되었다고 생각하십니까?__교양 함양이나 지식 습득 등 자기 계발,0.0,28 (42.42%),38 (57.58%),"$\chi^2$=399.92, $p$=0.00"
문A3-3) 귀하께서 작년에 참여한 학습경험이 전반적으로 다음 각 항목과 관련하여 귀하에게 어느 정도 도움이 되었다고 생각하십니까?__교양 함양이나 지식 습득 등 자기 계발,0.25,78 (31.08%),173 (68.92%),
문A3-3) 귀하께서 작년에 참여한 학습경험이 전반적으로 다음 각 항목과 관련하여 귀하에게 어느 정도 도움이 되었다고 생각하십니까?__교양 함양이나 지식 습득 등 자기 계발,0.5,729 (41.78%),1016 (58.22%),
문A3-3) 귀하께서 작년에 참여한 학습경험이 전반적으로 다음 각 항목과 관련하여 귀하에게 어느 정도 도움이 되었다고 생각하십니까?__교양 함양이나 지식 습득 등 자기 계발,0.75,1176 (31.63%),2542 (68.37%),
문A3-3) 귀하께서 작년에 참여한 학습경험이 전반적으로 다음 각 항목과 관련하여 귀하에게 어느 정도 도움이 되었다고 생각하십니까?__교양 함양이나 지식 습득 등 자기 계발,1.0,324 (14.20%),1957 (85.80%),
문A2-6) 연간참여시간__(3)직업능력향상교육_1,0.0,2011 (40.92%),2903 (59.08%),"$\chi^2$=379.43, $p$=0.00"
문A2-6) 연간참여시간__(3)직업능력향상교육_1,0.00034722222222222224,6 (10.71%),50 (89.29%),
문A2-6) 연간참여시간__(3)직업능력향상교육_1,0.0006944444444444445,40 (23.67%),129 (76.33%),
문A2-6) 연간참여시간__(3)직업능력향상교육_1,0.0010416666666666667,43 (28.48%),108 (71.52%),
문A2-6) 연간참여시간__(3)직업능력향상교육_1,0.001388888888888889,232 (35.97%),413 (64.03%),
문A2-6) 연간참여시간__(3)직업능력향상교육_1,0.0017361111111111112,15 (17.44%),71 (82.56%),
문A2-6) 연간참여시간__(3)직업능력향상교육_1,0.0020833333333333333,39 (21.55%),142 (78.45%),
문A2-6) 연간참여시간__(3)직업능력향상교육_1,0.0024305555555555556,1 (6.67%),14 (93.33%),
문A2-6) 연간참여시간__(3)직업능력향상교육_1,0.002777777777777778,179 (34.96%),333 (65.04%),
문A2-6) 연간참여시간__(3)직업능력향상교육_1,0.0034722222222222225,29 (18.12%),131 (81.88%),
문A2-6) 연간참여시간__(3)직업능력향상교육_1,0.004166666666666667,56 (23.83%),179 (76.17%),
문A2-6) 연간참여시간__(3)직업능력향상교육_1,0.004513888888888889,1 (33.33%),2 (66.67%),
문A2-6) 연간참여시간__(3)직업능력향상교육_1,0.005208333333333334,30 (42.86%),40 (57.14%),
문A2-6) 연간참여시간__(3)직업능력향상교육_1,0.005555555555555556,56 (23.24%),185 (76.76%),
문A2-6) 연간참여시간__(3)직업능력향상교육_1,0.00625,2 (9.09%),20 (90.91%),
문A2-6) 연간참여시간__(3)직업능력향상교육_1,0.006944444444444445,36 (26.67%),99 (73.33%),
문A2-6) 연간참여시간__(3)직업능력향상교육_1,0.007291666666666667,2 (66.67%),1 (33.33%),
문A2-6) 연간참여시간__(3)직업능력향상교육_1,0.008333333333333333,66 (34.20%),127 (65.80%),
문A2-6) 연간참여시간__(3)직업능력향상교육_1,0.008680555555555556,1 (10.00%),9 (90.00%),
문A2-6) 연간참여시간__(3)직업능력향상교육_1,0.009722222222222222,1 (50.00%),1 (50.00%),
문A2-6) 연간참여시간__(3)직업능력향상교육_1,0.010416666666666668,17 (23.61%),55 (76.39%),
문A2-6) 연간참여시간__(3)직업능력향상교육_1,0.011111111111111112,2 (4.26%),45 (95.74%),
문A2-6) 연간참여시간__(3)직업능력향상교육_1,0.0125,1 (3.23%),30 (96.77%),
문A2-6) 연간참여시간__(3)직업능력향상교육_1,0.01388888888888889,19 (18.27%),85 (81.73%),
문A2-6) 연간참여시간__(3)직업능력향상교육_1,0.016666666666666666,34 (31.19%),75 (68.81%),
문A2-6) 연간참여시간__(3)직업능력향상교육_1,0.017361111111111112,2 (6.67%),28 (93.33%),
문A2-6) 연간참여시간__(3)직업능력향상교육_1,0.018055555555555557,1 (33.33%),2 (66.67%),
문A2-6) 연간참여시간__(3)직업능력향상교육_1,0.01875,1 (50.00%),1 (50.00%),
문A2-6) 연간참여시간__(3)직업능력향상교육_1,0.019444444444444445,1 (25.00%),3 (75.00%),
문A2-6) 연간참여시간__(3)직업능력향상교육_1,0.020833333333333336,6 (12.24%),43 (87.76%),
문A2-6) 연간참여시간__(3)직업능력향상교육_1,0.022222222222222223,2 (16.67%),10 (83.33%),
문A2-6) 연간참여시간__(3)직업능력향상교육_1,0.024305555555555556,1 (20.00%),4 (80.00%),
문A2-6) 연간참여시간__(3)직업능력향상교육_1,0.025,11 (20.37%),43 (79.63%),
문A2-6) 연간참여시간__(3)직업능력향상교육_1,0.026041666666666668,1 (50.00%),1 (50.00%),
문A2-6) 연간참여시간__(3)직업능력향상교육_1,0.02777777777777778,31 (52.54%),28 (47.46%),
문A2-6) 연간참여시간__(3)직업능력향상교육_1,0.03125,5 (35.71%),9 (64.29%),
문A2-6) 연간참여시간__(3)직업능력향상교육_1,0.034722222222222224,4 (21.05%),15 (78.95%),
문A2-6) 연간참여시간__(3)직업능력향상교육_1,0.03819444444444445,1 (33.33%),2 (66.67%),
문A2-6) 연간참여시간__(3)직업능력향상교육_1,0.04166666666666667,61 (57.55%),45 (42.45%),
문A2-6) 연간참여시간__(3)직업능력향상교육_1,0.04513888888888889,1 (33.33%),2 (66.67%),
문A2-6) 연간참여시간__(3)직업능력향상교육_1,0.05,3 (11.11%),24 (88.89%),
문A2-6) 연간참여시간__(3)직업능력향상교육_1,0.052083333333333336,11 (78.57%),3 (21.43%),
문A2-6) 연간참여시간__(3)직업능력향상교육_1,0.0625,2 (33.33%),4 (66.67%),
문A2-6) 연간참여시간__(3)직업능력향상교육_1,0.06597222222222222,1 (50.00%),1 (50.00%),
문A2-6) 연간참여시간__(3)직업능력향상교육_1,0.06666666666666667,10 (76.92%),3 (23.08%),
문A2-6) 연간참여시간__(3)직업능력향상교육_1,0.06944444444444445,7 (46.67%),8 (53.33%),
문A2-6) 연간참여시간__(3)직업능력향상교육_1,0.075,2 (66.67%),1 (33.33%),
문A2-6) 연간참여시간__(3)직업능력향상교육_1,0.08333333333333334,40 (63.49%),23 (36.51%),
문A2-6) 연간참여시간__(3)직업능력향상교육_1,0.09375,1 (50.00%),1 (50.00%),
문A2-6) 연간참여시간__(3)직업능력향상교육_1,0.10416666666666667,15 (83.33%),3 (16.67%),
문A2-6) 연간참여시간__(3)직업능력향상교육_1,0.125,1 (14.29%),6 (85.71%),
문A2-6) 연간참여시간__(3)직업능력향상교육_1,0.1388888888888889,1 (33.33%),2 (66.67%),
문A2-6) 연간참여시간__(3)직업능력향상교육_1,0.16666666666666669,1 (33.33%),2 (66.67%),
문A2-6) 연간참여시간__(3)직업능력향상교육_1,0.25,1 (11.11%),8 (88.89%),
문A2-6) 연간참여시간__(3)직업능력향상교육_1,0.2777777777777778,1 (20.00%),4 (80.00%),
문A2-6) 연간참여시간__(3)직업능력향상교육_1,0.33333333333333337,4 (36.36%),7 (63.64%),
문A2-6) 연간참여시간__(3)직업능력향상교육_1,0.4,1 (50.00%),1 (50.00%),
문A2-6) 연간참여시간__(3)직업능력향상교육_1,0.6666666666666667,1 (33.33%),2 (66.67%),
DQ6. 귀하께서는 건강에 자신 있습니까?_2,0.0,3875 (57.04%),2918 (42.96%),"$\chi^2$=362.55, $p$=0.00"
DQ6. 귀하께서는 건강에 자신 있습니까?_2,1.0,1783 (38.84%),2808 (61.16%),
문A2-10) 프로그램만족도__(3)직업능력향상교육_1,0.0,2011 (40.92%),2903 (59.08%),"$\chi^2$=358.26, $p$=0.00"
문A2-10) 프로그램만족도__(3)직업능력향상교육_1,0.2,2 (50.00%),2 (50.00%),
문A2-10) 프로그램만족도__(3)직업능력향상교육_1,0.4,2 (14.29%),12 (85.71%),
문A2-10) 프로그램만족도__(3)직업능력향상교육_1,0.6000000000000001,552 (60.33%),363 (39.67%),
문A2-10) 프로그램만족도__(3)직업능력향상교육_1,0.8,1479 (42.35%),2013 (57.65%),
문A2-10) 프로그램만족도__(3)직업능력향상교육_1,1.0,37 (7.87%),433 (92.13%),
무형식학습(의존형) 참여,0.0,1425 (68.31%),661 (31.69%),"$\chi^2$=352.96, $p$=0.00"
무형식학습(의존형) 참여,1.0,4233 (45.53%),5065 (54.47%),
문A1-2) 참여한 프로그램 수는 몇개입니까? (4) 인문교양교육,0.0,251 (25.72%),725 (74.28%),"$\chi^2$=349.01, $p$=0.00"
문A1-2) 참여한 프로그램 수는 몇개입니까? (4) 인문교양교육,0.1111111111111111,3568 (47.06%),4014 (52.94%),
문A1-2) 참여한 프로그램 수는 몇개입니까? (4) 인문교양교육,0.2222222222222222,324 (26.36%),905 (73.64%),
문A1-2) 참여한 프로그램 수는 몇개입니까? (4) 인문교양교육,0.3333333333333333,6 (7.89%),70 (92.11%),
문A1-2) 참여한 프로그램 수는 몇개입니까? (4) 인문교양교육,0.4444444444444444,1 (11.11%),8 (88.89%),
문A1-2) 참여한 프로그램 수는 몇개입니까? (4) 인문교양교육,1.0,1 (50.00%),1 (50.00%),
문A3-6) 귀하께서 작년에 참여한 학습경험이 전반적으로 다음 각 항목과 관련하여 귀하에게 어느 정도 도움이 되었다고 생각하십니까?__성과급^ 연봉 등 소득 증대,0.0,127 (24.33%),395 (75.67%),"$\chi^2$=342.60, $p$=0.00"
문A3-6) 귀하께서 작년에 참여한 학습경험이 전반적으로 다음 각 항목과 관련하여 귀하에게 어느 정도 도움이 되었다고 생각하십니까?__성과급^ 연봉 등 소득 증대,0.2,240 (32.65%),495 (67.35%),
문A3-6) 귀하께서 작년에 참여한 학습경험이 전반적으로 다음 각 항목과 관련하여 귀하에게 어느 정도 도움이 되었다고 생각하십니까?__성과급^ 연봉 등 소득 증대,0.4000000000000001,676 (39.98%),1015 (60.02%),
문A3-6) 귀하께서 작년에 참여한 학습경험이 전반적으로 다음 각 항목과 관련하여 귀하에게 어느 정도 도움이 되었다고 생각하십니까?__성과급^ 연봉 등 소득 증대,0.6000000000000001,394 (24.73%),1199 (75.27%),
문A3-6) 귀하께서 작년에 참여한 학습경험이 전반적으로 다음 각 항목과 관련하여 귀하에게 어느 정도 도움이 되었다고 생각하십니까?__성과급^ 연봉 등 소득 증대,0.8,62 (7.29%),789 (92.71%),
문A3-6) 귀하께서 작년에 참여한 학습경험이 전반적으로 다음 각 항목과 관련하여 귀하에게 어느 정도 도움이 되었다고 생각하십니까?__성과급^ 연봉 등 소득 증대,1.0000000000000002,945 (34.02%),1833 (65.98%),
문C1) 앞으로 참여하길 희망하는 프로그램은 무엇입니까? (4)인문교양교육,0.0,5210 (53.19%),4585 (46.81%),"$\chi^2$=340.72, $p$=0.00"
문C1) 앞으로 참여하길 희망하는 프로그램은 무엇입니까? (4)인문교양교육,1.0,448 (28.19%),1141 (71.81%),
문A3-7) 귀하께서 작년에 참여한 학습경험이 전반적으로 다음 각 항목과 관련하여 귀하에게 어느 정도 도움이 되었다고 생각하십니까?__고용안정,0.0,95 (23.34%),312 (76.66%),"$\chi^2$=325.21, $p$=0.00"
문A3-7) 귀하께서 작년에 참여한 학습경험이 전반적으로 다음 각 항목과 관련하여 귀하에게 어느 정도 도움이 되었다고 생각하십니까?__고용안정,0.2,72 (16.59%),362 (83.41%),
문A3-7) 귀하께서 작년에 참여한 학습경험이 전반적으로 다음 각 항목과 관련하여 귀하에게 어느 정도 도움이 되었다고 생각하십니까?__고용안정,0.4000000000000001,406 (39.65%),618 (60.35%),
문A3-7) 귀하께서 작년에 참여한 학습경험이 전반적으로 다음 각 항목과 관련하여 귀하에게 어느 정도 도움이 되었다고 생각하십니까?__고용안정,0.6000000000000001,795 (35.36%),1453 (64.64%),
문A3-7) 귀하께서 작년에 참여한 학습경험이 전반적으로 다음 각 항목과 관련하여 귀하에게 어느 정도 도움이 되었다고 생각하십니까?__고용안정,0.8,218 (14.13%),1325 (85.87%),
문A3-7) 귀하께서 작년에 참여한 학습경험이 전반적으로 다음 각 항목과 관련하여 귀하에게 어느 정도 도움이 되었다고 생각하십니까?__고용안정,1.0000000000000002,845 (33.79%),1656 (66.21%),
DQ10. 귀하는 현재 어떤 직업에 종사하고 계십니까?_4.0,0.0,5339 (52.61%),4810 (47.39%),"$\chi^2$=314.70, $p$=0.00"
DQ10. 귀하는 현재 어떤 직업에 종사하고 계십니까?_4.0,1.0,319 (25.83%),916 (74.17%),
DQ1. 귀하의 최종 학력은 어떻게 되십니까?__상태구분_5.0,0.0,2459 (60.91%),1578 (39.09%),"$\chi^2$=313.75, $p$=0.00"
DQ1. 귀하의 최종 학력은 어떻게 되십니까?__상태구분_5.0,1.0,3199 (43.54%),4148 (56.46%),
문A1-2) 참여한 프로그램 수는 몇개입니까? (6) 시민참여교육,0.0,262 (24.42%),811 (75.58%),"$\chi^2$=302.51, $p$=0.00"
문A1-2) 참여한 프로그램 수는 몇개입니까? (6) 시민참여교육,0.25,4514 (48.61%),4773 (51.39%),
문A1-2) 참여한 프로그램 수는 몇개입니까? (6) 시민참여교육,0.5,15 (11.03%),121 (88.97%),
문A1-2) 참여한 프로그램 수는 몇개입니까? (6) 시민참여교육,0.75,3 (13.64%),19 (86.36%),
문A2-5) 참여목적__(3)직업능력향상교육_1,0.0,2011 (40.92%),2903 (59.08%),"$\chi^2$=268.47, $p$=0.00"
문A2-5) 참여목적__(3)직업능력향상교육_1,0.1,2 (28.57%),5 (71.43%),
문A2-5) 참여목적__(3)직업능력향상교육_1,0.2,6 (15.00%),34 (85.00%),
문A2-5) 참여목적__(3)직업능력향상교육_1,0.30000000000000004,59 (16.91%),290 (83.09%),
문A2-5) 참여목적__(3)직업능력향상교육_1,0.4,518 (60.37%),340 (39.63%),
문A2-5) 참여목적__(3)직업능력향상교육_1,0.5,1404 (44.94%),1720 (55.06%),
문A2-5) 참여목적__(3)직업능력향상교육_1,0.6000000000000001,5 (10.00%),45 (90.00%),
문A2-5) 참여목적__(3)직업능력향상교육_1,0.7000000000000001,199 (34.97%),370 (65.03%),
문A2-5) 참여목적__(3)직업능력향상교육_1,0.8,3 (27.27%),8 (72.73%),
문A2-5) 참여목적__(3)직업능력향상교육_1,1.0,6 (60.00%),4 (40.00%),
문A2-7) 자기부담학습비__(3)직업능력향상교육_1,0.0,2011 (40.92%),2903 (59.08%),"$\chi^2$=266.26, $p$=0.00"
문A2-7) 자기부담학습비__(3)직업능력향상교육_1,0.000999000999000999,2057 (50.06%),2052 (49.94%),
문A2-7) 자기부담학습비__(3)직업능력향상교육_1,0.0017982017982017982,5 (55.56%),4 (44.44%),
문A2-7) 자기부담학습비__(3)직업능력향상교육_1,0.001998001998001998,9 (18.37%),40 (81.63%),
문A2-7) 자기부담학습비__(3)직업능력향상교육_1,0.002797202797202797,4 (40.00%),6 (60.00%),
문A2-7) 자기부담학습비__(3)직업능력향상교육_1,0.002997002997002997,18 (21.18%),67 (78.82%),
문A2-7) 자기부담학습비__(3)직업능력향상교육_1,0.0034965034965034965,4 (36.36%),7 (63.64%),
문A2-7) 자기부담학습비__(3)직업능력향상교육_1,0.0035964035964035964,1 (50.00%),1 (50.00%),
문A2-7) 자기부담학습비__(3)직업능력향상교육_1,0.003996003996003996,37 (31.90%),79 (68.10%),
문A2-7) 자기부담학습비__(3)직업능력향상교육_1,0.004495504495504496,1 (25.00%),3 (75.00%),
문A2-7) 자기부담학습비__(3)직업능력향상교육_1,0.004995004995004995,1 (3.85%),25 (96.15%),
문A2-7) 자기부담학습비__(3)직업능력향상교육_1,0.005994005994005994,8 (15.69%),43 (84.31%),
문A2-7) 자기부담학습비__(3)직업능력향상교육_1,0.007992007992007992,1 (20.00%),4 (80.00%),
문A2-7) 자기부담학습비__(3)직업능력향상교육_1,0.008991008991008992,2 (15.38%),11 (84.62%),
문A2-7) 자기부담학습비__(3)직업능력향상교육_1,0.010989010989010988,4 (12.12%),29 (87.88%),
문A2-7) 자기부담학습비__(3)직업능력향상교육_1,0.012987012987012988,2 (13.33%),13 (86.67%),
문A2-7) 자기부담학습비__(3)직업능력향상교육_1,0.014985014985014984,1 (33.33%),2 (66.67%),
문A2-7) 자기부담학습비__(3)직업능력향상교육_1,0.015984015984015984,4 (19.05%),17 (80.95%),
문A2-7) 자기부담학습비__(3)직업능력향상교육_1,0.018981018981018984,2 (20.00%),8 (80.00%),
문A2-7) 자기부담학습비__(3)직업능력향상교육_1,0.02097902097902098,16 (34.04%),31 (65.96%),
문A2-7) 자기부담학습비__(3)직업능력향상교육_1,0.024975024975024976,1 (10.00%),9 (90.00%),
문A2-7) 자기부담학습비__(3)직업능력향상교육_1,0.025974025974025976,1 (12.50%),7 (87.50%),
문A2-7) 자기부담학습비__(3)직업능력향상교육_1,0.027972027972027972,1 (33.33%),2 (66.67%),
문A2-7) 자기부담학습비__(3)직업능력향상교육_1,0.030969030969030968,57 (64.77%),31 (35.23%),
문A2-7) 자기부담학습비__(3)직업능력향상교육_1,0.04095904095904096,4 (16.67%),20 (83.33%),
문A2-7) 자기부담학습비__(3)직업능력향상교육_1,0.041458541458541456,1 (50.00%),1 (50.00%),
문A2-7) 자기부담학습비__(3)직업능력향상교육_1,0.04595404595404595,1 (11.11%),8 (88.89%),
문A2-7) 자기부담학습비__(3)직업능력향상교육_1,0.04895104895104895,1 (33.33%),2 (66.67%),
문A2-7) 자기부담학습비__(3)직업능력향상교육_1,0.05094905094905095,3 (9.68%),28 (90.32%),
문A2-7) 자기부담학습비__(3)직업능력향상교육_1,0.05294705294705295,1 (50.00%),1 (50.00%),
문A2-7) 자기부담학습비__(3)직업능력향상교육_1,0.055944055944055944,1 (25.00%),3 (75.00%),
문A2-7) 자기부담학습비__(3)직업능력향상교육_1,0.060939060939060936,12 (33.33%),24 (66.67%),
문A2-7) 자기부담학습비__(3)직업능력향상교육_1,0.06593406593406592,1 (16.67%),5 (83.33%),
문A2-7) 자기부담학습비__(3)직업능력향상교육_1,0.07092907092907093,4 (44.44%),5 (55.56%),
문A2-7) 자기부담학습비__(3)직업능력향상교육_1,0.07292707292707293,1 (33.33%),2 (66.67%),
문A2-7) 자기부담학습비__(3)직업능력향상교육_1,0.08091908091908091,12 (42.86%),16 (57.14%),
문A2-7) 자기부담학습비__(3)직업능력향상교육_1,0.0909090909090909,7 (43.75%),9 (56.25%),
문A2-7) 자기부담학습비__(3)직업능력향상교육_1,0.1008991008991009,6 (20.00%),24 (80.00%),
문A2-7) 자기부담학습비__(3)직업능력향상교육_1,0.12087912087912087,1 (5.56%),17 (94.44%),
문A2-7) 자기부담학습비__(3)직업능력향상교육_1,0.13086913086913085,1 (33.33%),2 (66.67%),
문A2-7) 자기부담학습비__(3)직업능력향상교육_1,0.15084915084915085,4 (28.57%),10 (71.43%),
문A2-7) 자기부담학습비__(3)직업능력향상교육_1,0.16083916083916083,1 (50.00%),1 (50.00%),
문A2-7) 자기부담학습비__(3)직업능력향상교육_1,0.17082917082917082,4 (80.00%),1 (20.00%),
문A2-7) 자기부담학습비__(3)직업능력향상교육_1,0.1808191808191808,12 (57.14%),9 (42.86%),
문A2-7) 자기부담학습비__(3)직업능력향상교육_1,0.2007992007992008,10 (45.45%),12 (54.55%),
문A2-7) 자기부담학습비__(3)직업능력향상교육_1,0.30069930069930073,2 (25.00%),6 (75.00%),
문A2-7) 자기부담학습비__(3)직업능력향상교육_1,0.5004995004995005,1 (33.33%),2 (66.67%),
DQ5. 귀하께서는 취학 전의 손자·손녀가 있습니까? (동거여부 무관),0.0,5510 (51.68%),5152 (48.32%),"$\chi^2$=261.73, $p$=0.00"
DQ5. 귀하께서는 취학 전의 손자·손녀가 있습니까? (동거여부 무관),1.0,148 (20.50%),574 (79.50%),
DQ10. 귀하는 현재 어떤 직업에 종사하고 계십니까?_5.0,0.0,5498 (51.70%),5137 (48.30%),"$\chi^2$=256.36, $p$=0.00"
DQ10. 귀하는 현재 어떤 직업에 종사하고 계십니까?_5.0,1.0,160 (21.36%),589 (78.64%),
DQ9. 귀하의 현재 고용형태는 어떻게 되십니까?_1.0,0.0,3310 (56.61%),2537 (43.39%),"$\chi^2$=228.97, $p$=0.00"
DQ9. 귀하의 현재 고용형태는 어떻게 되십니까?_1.0,1.0,2348 (42.41%),3189 (57.59%),
DQ10. 귀하는 현재 어떤 직업에 종사하고 계십니까?_2.0,0.0,5597 (50.99%),5380 (49.01%),"$\chi^2$=202.02, $p$=0.00"
DQ10. 귀하는 현재 어떤 직업에 종사하고 계십니까?_2.0,1.0,61 (14.99%),346 (85.01%),
문A3-5) 귀하께서 작년에 참여한 학습경험이 전반적으로 다음 각 항목과 관련하여 귀하에게 어느 정도 도움이 되었다고 생각하십니까?__일하는데 필요한 기능 습득 등,0.0,52 (16.88%),256 (83.12%),"$\chi^2$=200.09, $p$=0.00"
문A3-5) 귀하께서 작년에 참여한 학습경험이 전반적으로 다음 각 항목과 관련하여 귀하에게 어느 정도 도움이 되었다고 생각하십니까?__일하는데 필요한 기능 습득 등,0.2,121 (28.14%),309 (71.86%),
